Dates,Spot A,Vol A,Spot B,Vol B,Spot C,Vol C
2010-01-01 00:00:00,7.526,37.458,125.031,23.275,41.67,35.088
2010-01-04 00:00:00,7.643,37.428,126.5115,23.198,42.85,34.045
2010-01-05 00:00:00,7.656,38.004,124.9832,23.318,43.68,33.323
2010-01-06 00:00:00,7.535,36.918,124.1713,22.726,43.92,31.933
2010-01-07 00:00:00,7.521,37.071,123.7415,22.64,44.79,31.422
2010-01-08 00:00:00,7.571,36.033,124.9832,22.315,44.68,32.018
2010-01-11 00:00:00,7.504,36.012,123.6746,22.34,44.53,31.783
2010-01-12 00:00:00,7.419,35.966,124.6585,21.12,43.49,32.508
2010-01-13 00:00:00,7.523,36.401,124.391,21.085,44.25,31.691
2010-01-14 00:00:00,7.48,36.083,126.3777,21.032,44.69,31.49
2010-01-15 00:00:00,7.355,36.614,125.8715,20.996,43.68,31.103
2010-01-19 00:00:00,7.68,35.47,128.1257,20.567,43.28,30.116
2010-01-20 00:00:00,7.562,36.471,124.4101,20.812,43.4,30.311
2010-01-21 00:00:00,7.431,37.117,123.2162,21.391,40.54,31.912
2010-01-22 00:00:00,7.063,37.788,119.8731,21.85,39.16,34.814
2010-01-25 00:00:00,7.253,38.11,120.4653,22.356,39.21,36.417
2010-01-26 00:00:00,7.355,35.989,120.1119,22.296,38.44,36.551
2010-01-27 00:00:00,7.424,36.318,120.6659,22.433,39.33,37.451
2010-01-28 00:00:00,7.118,37.213,118.2015,23.397,39.48,36.3
2010-01-29 00:00:00,6.859,37.647,116.9025,23.227,38.94,36.196
2010-02-01 00:00:00,6.955,38.188,119.0803,23.062,39.63,36.63
2010-02-02 00:00:00,6.995,37.182,119.9017,22.323,40.55,34.363
2010-02-03 00:00:00,7.115,37.07,120.0259,22.306,40.29,34.548
2010-02-04 00:00:00,6.859,38.414,117.4852,23.759,38.35,36.708
2010-02-05 00:00:00,6.981,39.314,117.9819,24.552,38.3,39.447
2010-02-08 00:00:00,6.933,38.301,116.4154,24.137,37.7,38.128
2010-02-09 00:00:00,7.007,37.62,117.6858,23.788,38.39,37.152
2010-02-10 00:00:00,6.968,37.666,117.3037,23.854,38.87,36.873
